Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.46835443037974683,0.45,0.225,0.3,0.4461538461538462,79,0.5063291139240507
Y_DGS10_t+2,0.4936708860759494,0.5,0.125,0.2,0.5352564102564102,79,0.5063291139240507
Y_DGS10_t+3,0.43037974683544306,0.25,0.07692307692307693,0.11764705882352941,0.4346153846153846,79,0.4936708860759494
Y_DGS10_t+4,0.4936708860759494,0.42105263157894735,0.21621621621621623,0.2857142857142857,0.5193050193050193,79,0.46835443037974683
Y_DGS1MO_t+1,0.6455696202531646,0.6111111111111112,0.34375,0.44,0.6316489361702128,79,0.4050632911392405
Y_DGS1MO_t+2,0.5949367088607594,0.5652173913043478,0.37142857142857144,0.4482758620689655,0.6409090909090909,79,0.4430379746835443
Y_DGS1MO_t+3,0.5316455696202531,0.3684210526315789,0.21875,0.27450980392156865,0.5378989361702128,79,0.4050632911392405
Y_DGS1MO_t+4,0.6075949367088608,0.5,0.3548387096774194,0.41509433962264153,0.5813172043010753,79,0.3924050632911392
Y_DGS1_t+1,0.5569620253164557,0.5,0.22857142857142856,0.3137254901960784,0.5902597402597402,79,0.4430379746835443
Y_DGS1_t+2,0.5949367088607594,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.6052287581699346,79,0.43037974683544306
Y_DGS1_t+3,0.4430379746835443,0.29411764705882354,0.13513513513513514,0.18518518518518517,0.4086229086229086,79,0.46835443037974683
Y_DGS1_t+4,0.5569620253164557,0.47368421052631576,0.2647058823529412,0.33962264150943394,0.5679738562091504,79,0.43037974683544306
Y_DGS20_t+1,0.5949367088607594,0.6363636363636364,0.2,0.30434782608695654,0.4902597402597403,79,0.4430379746835443
Y_DGS20_t+2,0.5189873417721519,0.6153846153846154,0.1951219512195122,0.2962962962962963,0.5462130937098846,79,0.5189873417721519
Y_DGS20_t+3,0.5189873417721519,0.5625,0.225,0.32142857142857145,0.533974358974359,79,0.5063291139240507
Y_DGS20_t+4,0.6075949367088608,0.6666666666666666,0.22857142857142856,0.3404255319148936,0.6233766233766234,79,0.4430379746835443
Y_DGS2_t+1,0.620253164556962,0.7619047619047619,0.3902439024390244,0.5161290322580645,0.6527599486521181,79,0.5189873417721519
Y_DGS2_t+2,0.6075949367088608,0.6,0.34285714285714286,0.43636363636363634,0.5733766233766233,79,0.4430379746835443
Y_DGS2_t+3,0.5569620253164557,0.375,0.1935483870967742,0.2553191489361702,0.5161290322580645,79,0.3924050632911392
Y_DGS2_t+4,0.43037974683544306,0.45,0.20930232558139536,0.2857142857142857,0.4754521963824289,79,0.5443037974683544
Y_DGS30_t+1,0.5063291139240507,0.3888888888888889,0.2,0.2641509433962264,0.47207792207792204,79,0.4430379746835443
Y_DGS30_t+2,0.4810126582278481,0.5384615384615384,0.16666666666666666,0.2545454545454545,0.5900900900900901,79,0.5316455696202531
Y_DGS30_t+3,0.4430379746835443,0.4444444444444444,0.19047619047619047,0.26666666666666666,0.49742599742599736,79,0.5316455696202531
Y_DGS30_t+4,0.5189873417721519,0.38461538461538464,0.14285714285714285,0.20833333333333334,0.5025974025974026,79,0.4430379746835443
Y_DGS3MO_t+1,0.569620253164557,0.6071428571428571,0.425,0.5,0.6724358974358974,79,0.5063291139240507
Y_DGS3MO_t+2,0.5063291139240507,0.35,0.21212121212121213,0.2641509433962264,0.43807641633728595,79,0.4177215189873418
Y_DGS3MO_t+3,0.4810126582278481,0.4117647058823529,0.18421052631578946,0.2545454545454545,0.5102695763799743,79,0.4810126582278481
Y_DGS3MO_t+4,0.620253164556962,0.5,0.4,0.4444444444444444,0.608843537414966,79,0.379746835443038
Y_DGS3_t+1,0.5569620253164557,0.6470588235294118,0.275,0.38596491228070173,0.5192307692307693,79,0.5063291139240507
Y_DGS3_t+2,0.5063291139240507,0.5294117647058824,0.225,0.3157894736842105,0.5115384615384615,79,0.5063291139240507
Y_DGS3_t+3,0.5316455696202531,0.42105263157894735,0.23529411764705882,0.3018867924528302,0.4882352941176471,79,0.43037974683544306
Y_DGS3_t+4,0.5189873417721519,0.6,0.21951219512195122,0.32142857142857145,0.4762516046213094,79,0.5189873417721519
Y_DGS5_t+1,0.43037974683544306,0.4117647058823529,0.16666666666666666,0.23728813559322035,0.3944658944658944,79,0.5316455696202531
Y_DGS5_t+2,0.5063291139240507,0.5,0.15384615384615385,0.23529411764705882,0.5455128205128206,79,0.4936708860759494
Y_DGS5_t+3,0.46835443037974683,0.35,0.19444444444444445,0.25,0.514857881136951,79,0.45569620253164556
Y_DGS5_t+4,0.45569620253164556,0.35714285714285715,0.1282051282051282,0.18867924528301888,0.3974358974358974,79,0.4936708860759494
Y_DGS6MO_t+1,0.6455696202531646,0.6666666666666666,0.5641025641025641,0.6111111111111112,0.6737179487179488,79,0.4936708860759494
Y_DGS6MO_t+2,0.569620253164557,0.5789473684210527,0.2972972972972973,0.39285714285714285,0.5701415701415702,79,0.46835443037974683
Y_DGS6MO_t+3,0.5949367088607594,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.6378205128205128,79,0.4936708860759494
Y_DGS6MO_t+4,0.569620253164557,0.5454545454545454,0.3333333333333333,0.41379310344827586,0.5930232558139534,79,0.45569620253164556
Y_DGS7_t+1,0.4936708860759494,0.5384615384615384,0.17073170731707318,0.25925925925925924,0.4216944801026958,79,0.5189873417721519
Y_DGS7_t+2,0.4177215189873418,0.3684210526315789,0.17073170731707318,0.23333333333333334,0.43068035943517335,79,0.5189873417721519
Y_DGS7_t+3,0.5316455696202531,0.4666666666666667,0.19444444444444445,0.27450980392156865,0.5051679586563307,79,0.45569620253164556
Y_DGS7_t+4,0.46835443037974683,0.38461538461538464,0.1282051282051282,0.19230769230769232,0.5057692307692307,79,0.4936708860759494
