Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.46835443037974683,0.4375,0.175,0.25,0.4653846153846154,79,0.5063291139240507
Y_DGS10_t+2,0.569620253164557,0.75,0.225,0.34615384615384615,0.5538461538461539,79,0.5063291139240507
Y_DGS10_t+3,0.5443037974683544,0.6153846153846154,0.20512820512820512,0.3076923076923077,0.5564102564102563,79,0.4936708860759494
Y_DGS10_t+4,0.5189873417721519,0.4666666666666667,0.1891891891891892,0.2692307692307692,0.5102960102960103,79,0.46835443037974683
Y_DGS1MO_t+1,0.6075949367088608,0.5333333333333333,0.25,0.3404255319148936,0.5930851063829787,79,0.4050632911392405
Y_DGS1MO_t+2,0.569620253164557,0.5384615384615384,0.2,0.2916666666666667,0.6194805194805195,79,0.4430379746835443
Y_DGS1MO_t+3,0.5569620253164557,0.4,0.1875,0.2553191489361702,0.5664893617021276,79,0.4050632911392405
Y_DGS1MO_t+4,0.6455696202531646,0.5882352941176471,0.3225806451612903,0.4166666666666667,0.6182795698924731,79,0.3924050632911392
Y_DGS1_t+1,0.5949367088607594,0.6363636363636364,0.2,0.30434782608695654,0.5993506493506493,79,0.4430379746835443
Y_DGS1_t+2,0.5569620253164557,0.47368421052631576,0.2647058823529412,0.33962264150943394,0.5352941176470588,79,0.43037974683544306
Y_DGS1_t+3,0.4936708860759494,0.4117647058823529,0.1891891891891892,0.25925925925925924,0.39897039897039904,79,0.46835443037974683
Y_DGS1_t+4,0.5063291139240507,0.3333333333333333,0.14705882352941177,0.20408163265306123,0.47908496732026146,79,0.43037974683544306
Y_DGS20_t+1,0.5822784810126582,0.5833333333333334,0.2,0.2978723404255319,0.5025974025974025,79,0.4430379746835443
Y_DGS20_t+2,0.46835443037974683,0.4,0.04878048780487805,0.08695652173913043,0.4845956354300385,79,0.5189873417721519
Y_DGS20_t+3,0.4050632911392405,0.26666666666666666,0.1,0.14545454545454545,0.4224358974358975,79,0.5063291139240507
Y_DGS20_t+4,0.4810126582278481,0.3125,0.14285714285714285,0.19607843137254902,0.5175324675324675,79,0.4430379746835443
Y_DGS2_t+1,0.5569620253164557,0.6875,0.2682926829268293,0.38596491228070173,0.5301668806161746,79,0.5189873417721519
Y_DGS2_t+2,0.5443037974683544,0.47368421052631576,0.2571428571428571,0.3333333333333333,0.47597402597402594,79,0.4430379746835443
Y_DGS2_t+3,0.45569620253164556,0.125,0.06451612903225806,0.0851063829787234,0.5073924731182795,79,0.3924050632911392
Y_DGS2_t+4,0.379746835443038,0.25,0.06976744186046512,0.10909090909090909,0.3559431524547804,79,0.5443037974683544
Y_DGS30_t+1,0.5063291139240507,0.3888888888888889,0.2,0.2641509433962264,0.437012987012987,79,0.4430379746835443
Y_DGS30_t+2,0.4810126582278481,0.5555555555555556,0.11904761904761904,0.19607843137254902,0.4864864864864865,79,0.5316455696202531
Y_DGS30_t+3,0.4430379746835443,0.45454545454545453,0.23809523809523808,0.3125,0.5360360360360361,79,0.5316455696202531
Y_DGS30_t+4,0.620253164556962,0.6470588235294118,0.3142857142857143,0.4230769230769231,0.6214285714285714,79,0.4430379746835443
Y_DGS3MO_t+1,0.4936708860759494,0.5,0.175,0.25925925925925924,0.6224358974358974,79,0.5063291139240507
Y_DGS3MO_t+2,0.5822784810126582,0.5,0.3333333333333333,0.4,0.49275362318840576,79,0.4177215189873418
Y_DGS3MO_t+3,0.569620253164557,0.6111111111111112,0.2894736842105263,0.39285714285714285,0.5455712451861361,79,0.4810126582278481
Y_DGS3MO_t+4,0.6075949367088608,0.4666666666666667,0.23333333333333334,0.3111111111111111,0.5503401360544218,79,0.379746835443038
Y_DGS3_t+1,0.4936708860759494,0.5,0.175,0.25925925925925924,0.460897435897436,79,0.5063291139240507
Y_DGS3_t+2,0.4936708860759494,0.5,0.2,0.2857142857142857,0.42500000000000004,79,0.5063291139240507
Y_DGS3_t+3,0.5569620253164557,0.47058823529411764,0.23529411764705882,0.3137254901960784,0.5516339869281046,79,0.43037974683544306
Y_DGS3_t+4,0.3924050632911392,0.29411764705882354,0.12195121951219512,0.1724137931034483,0.4056482670089858,79,0.5189873417721519
Y_DGS5_t+1,0.4177215189873418,0.375,0.14285714285714285,0.20689655172413793,0.3938223938223938,79,0.5316455696202531
Y_DGS5_t+2,0.5443037974683544,0.5882352941176471,0.2564102564102564,0.35714285714285715,0.535897435897436,79,0.4936708860759494
Y_DGS5_t+3,0.5443037974683544,0.5,0.19444444444444445,0.28,0.5219638242894056,79,0.45569620253164556
Y_DGS5_t+4,0.5316455696202531,0.55,0.28205128205128205,0.3728813559322034,0.4935897435897436,79,0.4936708860759494
Y_DGS6MO_t+1,0.5063291139240507,0.5,0.20512820512820512,0.2909090909090909,0.6282051282051282,79,0.4936708860759494
Y_DGS6MO_t+2,0.5949367088607594,0.6666666666666666,0.2702702702702703,0.38461538461538464,0.5900900900900902,79,0.46835443037974683
Y_DGS6MO_t+3,0.5569620253164557,0.6111111111111112,0.28205128205128205,0.38596491228070173,0.6000000000000001,79,0.4936708860759494
Y_DGS6MO_t+4,0.5822784810126582,0.5652173913043478,0.3611111111111111,0.4406779661016949,0.5891472868217054,79,0.45569620253164556
Y_DGS7_t+1,0.4177215189873418,0.38095238095238093,0.1951219512195122,0.25806451612903225,0.3908857509627728,79,0.5189873417721519
Y_DGS7_t+2,0.5443037974683544,0.6666666666666666,0.24390243902439024,0.35714285714285715,0.5430038510911425,79,0.5189873417721519
Y_DGS7_t+3,0.6455696202531646,0.7222222222222222,0.3611111111111111,0.48148148148148145,0.6253229974160207,79,0.45569620253164556
Y_DGS7_t+4,0.4177215189873418,0.29411764705882354,0.1282051282051282,0.17857142857142858,0.4262820512820513,79,0.4936708860759494
