,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
0,0.75,0.75,1.0,0.5,0.25,0.25,0.75,0.75,0.5,0.5,0.25
1,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.25,0.75,0.5,0.5
2,0.25,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.5,0.5,0.75
3,0.75,0.25,0.75,0.25,0.75,0.5,0.25,0.75,0.5,0.25,0.5
4,0.75,0.75,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.75,0.5
5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,1.0
6,0.5,0.25,0.75,0.25,0.75,0.5,1.0,0.5,0.75,1.0,0.25
7,0.25,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.5,0.75
8,0.75,0.75,0.25,0.25,0.25,0.5,1.0,0.25,1.0,1.0,0.75
9,0.5,0.75,1.0,0.75,0.5,0.5,0.75,0.75,0.75,1.0,1.0
10,0.0,0.5,0.25,0.75,0.5,0.25,0.5,0.25,0.5,0.5,0.0
11,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
12,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25
13,0.25,0.5,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5
14,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.25,0.5,0.0,0.25
15,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.5,0.25
16,0.75,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.25,0.25,0.5
17,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.25
18,0.5,0.75,0.5,0.5,0.0,0.0,1.0,0.25,0.0,0.5,1.0
19,0.75,0.75,0.5,0.5,1.0,0.75,1.0,1.0,1.0,0.75,0.75
20,0.5,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.75
21,0.5,0.25,0.25,0.75,0.0,0.25,0.25,0.25,1.0,0.5,0.5
22,0.25,0.25,0.75,1.0,0.5,0.75,0.75,0.75,0.25,1.0,0.25
23,0.25,0.75,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.75
24,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.5,0.5,0.75,0.5
25,1.0,0.5,0.25,1.0,0.75,0.5,0.25,0.25,0.25,0.75,0.5
26,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.75
27,0.25,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5
28,1.0,0.5,0.25,0.5,0.75,0.5,0.0,0.25,0.25,0.25,1.0
29,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75
30,0.75,0.75,0.75,0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.25
31,0.75,0.75,1.0,0.5,0.5,0.25,0.75,0.5,0.25,0.5,0.25
32,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.75,0.75
33,0.5,0.0,0.0,1.0,0.5,0.25,0.25,0.25,0.75,0.0,0.25
34,0.75,0.75,0.25,0.75,0.5,0.75,0.5,0.25,0.5,0.5,0.25
35,0.5,0.75,1.0,1.0,0.5,0.75,0.5,0.75,0.25,0.5,0.25
36,1.0,0.75,1.0,1.0,1.0,1.0,0.25,0.0,0.75,0.25,0.5
