DlyCalDt,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx
2000-01-03,-0.006803,-0.006810,0.002878,0.002860,-0.009549,1455.22
2000-01-04,-0.039652,-0.039679,-0.017465,-0.017486,-0.038345,1399.42
2000-01-05,-0.000935,-0.001009,0.007821,0.007743,0.001922,1402.11
2000-01-06,-0.007391,-0.007547,0.004504,0.004453,0.000956,1403.45
2000-01-07,0.032516,0.032514,0.017008,0.016991,0.027090,1441.47
2000-01-10,0.018608,0.018588,0.015333,0.015316,0.011190,1457.60
2000-01-11,-0.016941,-0.016963,-0.006079,-0.006089,-0.013063,1438.56
2000-01-12,-0.006922,-0.006989,-0.002505,-0.002685,-0.004386,1432.25
2000-01-13,0.016265,0.016254,0.013063,0.012991,0.012170,1449.68
2000-01-14,0.011137,0.011135,0.009119,0.009105,0.010671,1465.15
2000-01-18,-0.000860,-0.000872,0.012040,0.012003,-0.006832,1455.14
2000-01-19,0.004631,0.004597,0.008125,0.008104,0.000522,1455.90
2000-01-20,-0.002801,-0.002810,0.003468,0.003447,-0.007095,1445.57
2000-01-21,0.002655,0.002643,0.008277,0.008257,-0.002912,1441.36
2000-01-24,-0.025311,-0.025318,-0.002527,-0.002542,-0.027634,1401.53
2000-01-25,0.005547,0.005546,0.000870,0.000862,0.006065,1410.03
2000-01-26,-0.004530,-0.004563,0.003851,0.003789,-0.004213,1404.09
2000-01-27,-0.003521,-0.003599,-0.002202,-0.002345,-0.003938,1398.56
2000-01-28,-0.028051,-0.028136,-0.015015,-0.015087,-0.027457,1360.16
2000-01-31,0.014744,0.014739,-0.005371,-0.005389,0.025218,1394.46
2000-02-01,0.012300,0.012295,0.008028,0.007982,0.010628,1409.28
2000-02-02,0.003106,0.003003,0.008154,0.007989,-0.000114,1409.12
2000-02-03,0.015598,0.015524,0.013512,0.013457,0.011248,1424.97
2000-02-04,0.001021,0.000995,0.006727,0.006689,-0.000421,1424.37
2000-02-07,0.003075,0.003055,0.009064,0.009037,-0.000091,1424.24
2000-02-08,0.012724,0.012667,0.009960,0.009903,0.012273,1441.72
2000-02-09,-0.017185,-0.017356,-0.001750,-0.001833,-0.020822,1411.70
2000-02-10,0.006488,0.006473,0.007364,0.007310,0.003634,1416.83
2000-02-11,-0.017335,-0.017434,-0.001085,-0.001261,-0.020969,1387.12
2000-02-14,0.002672,0.002639,0.007272,0.007237,0.002033,1389.94
2000-02-15,0.007370,0.007358,0.001399,0.001347,0.008713,1402.05
