,RPI,INDPRO,UNRATE,UEMP5TO14,PAYEMS,USGOOD,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,HOUST,PERMIT,UMCSENT,M1SL,M2SL,M2REAL,TOTRESNS,NONREVSL,DTCOLNVHFNM,DTCTHFNM,CPIAUCSL,CPIAPPSL,CPITRNSL,CUSR0000SAC,CUUR0000SAD,CPIULFSL,CUUR0000SA0L2,PCEPI,DNDGRG3M086SBEA,FGEXPND,FGDEF,MTSDS133FMS,FYGFDPUN,GFDEGDQ188S,GFDEBTN,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20,DGS30,IRLTLT01DEM156N,IRLTLT01JPM156N,IRLTLT01GBM156N,IRLTLT01CAM156N,IRLTLT01AUM156N,IRLTLT01FRM156N,NASDAQCOM,AAA,BAA,DEXUSEU,DEXJPUS,DEXUSUK,DEXCAUS,DEXUSAL,VIXCLS,NFCI,DCOILWTICO,FEDFUNDS,CURRCIR,BOGMBASE,WSHOSHO,WSHOTSL,T5YIE,T10YIE,log return gold,log return sp500
2003-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005711037795514962,0.03721302256473269
2003-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.01,-0.02,0.0,0.0599999999999996,0.1700000000000003,0.1400000000000001,0.1100000000000003,0.1099999999999994,0.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0427890869873186,0.0,0.0,0.0111679679331525,-0.0034268076494585,0.0021167982004543,-0.0104598765448353,0.0287601521752626,-0.0146941419392208,-0.01313,-0.0515148589507878,0.0,0.0,0.0,0.0,0.0,0.1199999999999998,0.1299999999999999,0.009860112750844863,0.02067431601033043
2003-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,-0.0499999999999998,-0.09,-0.1099999999999998,-0.1500000000000003,-0.1400000000000001,-0.1100000000000003,-0.1399999999999996,-0.1100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0506710937252146,0.0,0.0,0.011795371481546,-0.0131469953614411,0.0058291123753667,-0.0095278939665339,0.015176350620191,0.0551919348032079,-0.0124099999999999,0.0699842549698601,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.005062162787058178,-0.0281976754572959
2003-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.02,-0.02,-0.03,-0.04,-0.0699999999999998,-0.1199999999999996,-0.1200000000000001,-0.1099999999999998,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0264850317827596,0.0,0.0,0.015359855150855,-0.0006788866520075,0.0090481643983195,-0.0088308014592459,0.0021976173158619,0.2038139638680092,-0.0096699999999999,0.031951599806602,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.033488165824612004,-0.045811615254551796
2003-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.06,0.08,0.0899999999999998,0.0699999999999998,0.06,0.0099999999999997,-0.0199999999999995,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068731880379422,0.0,0.0,-0.007976299012474,0.0181700826633219,0.0078125397367936,0.0043270243871525,-0.0105246260904783,-0.0108488619899378,-0.00718,-0.0429325678412366,0.0,0.0,0.0,0.0,0.0,0.03,0.01,-0.00037986705110171215,-0.006639125196000961
2003-02-07,-0.0035451000479085,0.0012457002478249,0.0170944333593001,0.0111689972925406,-0.0010114400856142,-0.0056149395845164,-0.0055343795438584,-0.005869076111157,-0.0068736291577522,-0.0042417879083647,-7.378508253452765e-05,-0.0009492169673315,0.0013625201555704,-0.002352303626969,0.001494210214501,-9.24855491994947e-05,-0.1288396176833144,0.0251242051736788,-0.0308095841431974,0.0088420774816695,0.0061919702479205,0.0007223278111911,-0.0235859990058791,0.0057114650467671,0.0167131728806495,-0.0076076435779715,0.0054615100255217,-0.002460025840862,0.0175663237178991,0.0092105914302766,-0.0016694494695403,0.0048899852941914,0.0098181556806453,0.0042009536534264,0.0105390592888925,0.0,0.0,-107296.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.03,-0.09,-0.08,-0.0499999999999998,-0.04,-0.04,-0.0499999999999998,-0.0499999999999998,-0.2249999999999996,-0.008,-0.1768,0.0501818181818203,-0.1072500000000005,-0.2099999999999999,-0.0402417896296949,-0.2199999999999997,-0.29,0.0057567475602576,0.0036611789939122,-0.0100208586320221,-0.0046555934717578,0.0073110926696312,0.0871985052398582,-0.0039099999999999,0.0449317117313801,0.0160003413464411,0.0006194624705999,0.0024280523247686,-7.943903332474633e-06,-7.944029546180786e-06,0.1100000000000001,0.0799999999999998,0.0038462627660331705,-0.03086771037551639
2003-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.02,-0.0099999999999997,-0.0300000000000002,-0.06,-0.0299999999999998,-0.0099999999999997,0.0600000000000005,0.1099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0245907381579613,0.0,0.0,-0.0001851851857143,8.305302940758708e-05,-0.0110532478575702,-0.0015786361234089,0.0030446572910866,-0.0417290018262361,-0.0026199999999999,0.0435458136515456,0.0,0.0,0.0,0.0024532529790946,0.002453291908905,0.02,0.03,-0.05244647537254288,0.00624784259739819
2003-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0099999999999997,-0.0099999999999997,-0.0500000000000002,-0.06,-0.0500000000000002,-0.0600000000000005,-0.0099999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0313272113467073,0.0,0.0,-0.0011118318573307,-0.0136295433164139,-0.0150773915656673,-0.0091922744943346,0.0085765261273048,-0.0754294127160171,-0.00263,0.0040888703553414,0.0,0.0,0.0,0.0005007011505053,0.0005007090842283,0.1099999999999998,0.05,0.001224321437617526,0.015781107752359524
2003-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.01,-0.07,-0.0999999999999998,-0.1300000000000001,-0.1699999999999999,-0.1799999999999997,-0.1899999999999999,-0.1799999999999997,-0.1799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069318965413485,0.0,0.0,-0.0007419085938005,-0.0047257471914905,-0.0080377635987674,-0.0114928433262451,0.0171001095496683,-0.0207088228913767,-0.0041999999999999,0.0,0.0,0.0,0.0,0.0074695816885146,0.0074696995752461,0.02,-0.03,-0.004506053711577529,-0.008311084233080912
2003-03-07,0.0014757589379161,-0.002742371997936,0.0,-0.016995387827988,-0.0015805063978451,-0.0035026305512015,-0.0019518060396368,-0.0039998697441809,-0.0041689583145725,-0.0037263817408135,-0.00119053675885,-0.0017425746983796,-0.000752742167597,-0.0016653687805074,0.0017404280872632,-0.0006476384553515,0.0578402630413279,-0.0537376579387034,-0.0292084255830555,0.0008879919856967,0.0034481026942696,0.0018192088324457,-0.0315177603204048,0.0054504305449363,-0.0255330609467705,0.0064268473573783,0.0016326534238855,-0.0090722271723109,0.0,-0.0006550933742301,-0.0016722411923622,0.0016246957270018,0.0074434927126594,0.0025635919766786,-0.0007717172355743,0.0,0.0,37786.0,0.0,0.0,0.0,-0.05,-0.0799999999999998,-0.0799999999999998,-0.09,-0.1400000000000001,-0.1399999999999999,-0.1299999999999999,-0.1,-0.08,-0.0300000000000002,0.0,0.0454761904761893,-0.1039999999999998,0.1112000000000001,-0.0148571428571395,0.103916667,0.0899999999999998,-0.0242732193418167,-0.0600000000000005,-0.1099999999999994,0.0215673940407982,-0.0149135662816632,0.0178233140214857,-0.0145543269755314,0.0101540341803477,0.047777163913973,-0.0065899999999999,0.0268400437898135,-0.0079681696491768,0.0052536532120885,0.0061153571795431,0.001795539910038,0.0017955681166448,-0.01,-0.03,0.002141481295228509,-0.014682546821907394
