,Y_DGS1,Y_DGS10,Y_DGS1MO,Y_DGS2,Y_DGS20,Y_DGS3,Y_DGS30,Y_DGS3MO,Y_DGS5,Y_DGS6MO,Y_DGS7
0,0.75,0.75,0.25,0.75,0.75,0.75,0.5,0.25,1.0,0.75,1.0
1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5
2,0.75,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.75
3,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75
4,0.75,0.25,0.75,0.75,1.0,0.25,0.75,0.75,0.5,0.5,0.75
5,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0
6,0.75,1.0,0.75,1.0,0.75,1.0,0.75,0.75,1.0,0.5,0.75
7,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25
8,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75
9,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5
10,0.75,0.75,0.75,0.75,0.5,0.75,0.5,1.0,0.75,0.75,0.75
11,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5
12,0.5,0.75,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.75,0.5
13,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25
14,0.5,0.5,0.25,0.5,0.5,0.75,0.5,0.25,0.75,0.5,0.75
15,1.0,1.0,0.75,0.75,1.0,0.75,1.0,0.75,0.75,1.0,1.0
16,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75
17,0.5,0.25,0.75,0.75,0.25,1.0,0.25,0.75,0.75,0.75,1.0
18,0.75,0.5,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.25,0.75
19,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.75
20,0.75,0.75,0.5,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75
21,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.5
22,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.25,0.5,0.5
23,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5
24,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.25,1.0,0.25
25,1.0,0.5,0.75,1.0,0.5,0.75,0.5,0.75,0.75,1.0,0.75
26,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5
27,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.75,0.5,0.75,0.5
28,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.0,0.5,0.0
29,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.25
30,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
31,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.75
32,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.0,0.5,0.5,0.5
33,1.0,1.0,0.75,0.75,1.0,0.75,1.0,0.75,1.0,1.0,1.0
34,0.75,0.75,1.0,0.5,0.75,0.5,0.75,0.75,0.25,0.75,0.5
35,0.5,0.0,0.75,0.75,0.5,0.25,0.5,1.0,0.5,0.75,0.25
36,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0.25
37,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5
38,0.0,0.75,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.5,0.75
39,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.25
40,0.0,0.25,0.75,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.25
41,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
42,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.25,0.25,1.0,0.25
43,1.0,0.25,0.75,0.5,0.25,0.5,0.0,1.0,0.25,1.0,0.5
44,0.5,0.75,0.75,0.25,0.75,0.5,0.75,0.5,0.75,0.75,0.75
45,0.75,0.25,1.0,0.5,0.25,0.5,0.25,1.0,0.25,1.0,0.25
46,0.25,0.75,0.25,0.5,0.75,0.75,0.75,0.25,0.75,1.0,0.75
47,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.75,0.25,0.75,0.25
48,0.75,0.0,0.5,0.0,0.25,0.0,0.25,0.75,0.0,1.0,0.0
49,0.75,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5
51,0.75,0.75,0.5,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.5
52,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5
53,0.25,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.25,0.75,0.5
54,0.75,0.0,0.75,1.0,0.0,1.0,0.5,1.0,0.25,1.0,0.0
55,0.25,0.75,0.75,0.5,0.5,0.25,0.5,0.75,0.5,0.5,0.5
56,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5
57,0.75,0.25,0.5,0.75,0.0,0.25,0.0,0.75,0.25,1.0,0.25
58,0.5,0.5,0.0,0.75,0.75,0.25,0.75,0.5,0.5,0.5,0.5
59,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.0,0.75,0.5
60,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.75,0.25,0.5,0.0
61,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.25,0.5,0.0
62,0.25,0.25,1.0,0.5,0.25,0.5,0.25,0.25,0.25,0.75,0.5
63,0.25,0.5,0.75,0.5,0.75,0.75,0.75,0.25,0.5,0.5,0.5
64,0.5,0.5,0.25,0.75,1.0,0.25,0.25,0.25,0.25,0.25,0.25
65,0.25,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0.75,0.0,0.75
66,0.5,0.75,0.75,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75
67,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.5
68,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.75
69,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
70,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.75,0.5,0.0,1.0
71,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.5,0.75,1.0,0.5
72,1.0,0.5,0.25,1.0,0.75,0.75,0.5,0.5,0.75,0.25,0.75
73,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.75
74,0.75,0.5,1.0,0.75,0.75,0.75,0.5,1.0,0.75,1.0,0.75
75,0.75,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.0,0.75,0.0
76,0.25,0.5,1.0,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.5
77,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.5
78,0.5,0.0,1.0,0.25,0.25,0.25,0.25,1.0,0.5,1.0,0.25
