,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
2018-12-14,0.75,0.75,0.25,0.25,0.0,0.25,0.5,0.25,0.5,0.5,0.5
2019-01-11,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25
2019-02-08,0.5,0.5,0.75,0.5,0.5,1.0,0.75,0.5,0.75,0.75,1.0
2019-03-08,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.5
2019-04-05,0.75,0.75,0.75,1.0,0.5,0.5,1.0,0.5,0.75,1.0,0.5
2019-05-03,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.25,0.25,0.25,0.25
2019-05-31,0.75,0.75,0.5,0.5,0.25,0.5,0.75,0.25,0.25,0.0,0.0
2019-06-28,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.75,1.0,0.75,0.75
2019-07-26,0.5,0.75,0.75,0.5,0.75,1.0,1.0,0.75,0.25,0.25,0.5
2019-08-23,0.75,0.75,0.5,0.25,0.75,0.5,1.0,1.0,0.75,1.0,0.75
2019-09-20,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.25,0.25
2019-10-18,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2019-11-15,0.5,0.25,0.75,0.5,1.0,0.5,0.75,0.5,0.5,0.5,0.75
2019-12-13,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5
2020-01-10,0.25,0.25,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.5,0.5
2020-02-07,0.75,0.75,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.25,0.25
2020-03-06,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.25,0.75
2020-04-03,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.75,0.75,1.0
2020-05-01,0.75,0.75,0.25,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.75
2020-05-29,0.75,0.5,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.25,0.5
2020-06-26,0.5,1.0,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.25,0.5
2020-07-24,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.25,0.5
2020-08-21,0.5,0.75,0.75,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.5
2020-09-18,0.75,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5
2020-10-16,0.75,0.75,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75
2020-11-13,0.75,0.75,1.0,1.0,0.0,0.25,0.25,0.25,0.5,1.0,0.5
2020-12-11,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.75,0.75
2021-01-08,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.75,0.75,0.75,0.75
2021-02-05,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.5
2021-03-05,0.5,0.25,0.5,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.75
2021-04-02,1.0,0.25,0.5,0.75,0.25,0.25,0.25,0.25,0.5,0.75,0.75
2021-04-30,0.5,0.25,0.75,0.75,0.25,0.25,0.25,0.5,0.5,0.5,0.75
2021-05-28,0.25,1.0,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.25,0.25
2021-06-25,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.75,1.0,0.75
2021-07-23,0.75,0.25,0.5,0.75,0.5,0.25,0.5,0.5,1.0,0.75,0.75
2021-08-20,1.0,0.0,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.25,0.25
2021-09-17,0.5,0.75,0.75,0.25,0.5,1.0,0.5,0.75,0.5,0.25,0.5
2021-10-15,0.25,0.25,0.75,0.25,0.75,1.0,0.75,0.75,0.5,0.5,0.5
2021-11-12,0.5,0.75,0.5,0.25,0.75,0.75,0.75,0.5,0.75,0.75,0.75
2021-12-10,0.5,0.25,0.0,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.5
2022-01-07,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.25,0.5,0.75
2022-02-04,0.25,0.5,0.5,0.25,1.0,0.5,0.75,0.75,0.5,0.75,0.5
2022-03-04,0.5,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5
2022-04-01,0.75,1.0,1.0,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.25
2022-04-29,0.75,0.5,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25
2022-05-27,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2022-06-24,1.0,0.75,0.75,0.25,0.0,0.75,0.25,0.5,0.5,0.5,0.5
2022-07-22,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.5,0.5
2022-08-19,0.75,1.0,1.0,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75
2022-09-16,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.75,0.75,0.75,0.5
2022-10-14,0.5,1.0,0.75,0.5,0.5,0.5,1.0,0.75,0.75,0.75,0.5
2022-11-11,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.0
2022-12-09,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25
