Target_Date,Prediction_Date,Forecast_Task,Prob_Up
2018-12-14,2018-12-07,Y_DGS1MO_t+1,0.4851355
2018-12-14,2018-12-07,Y_DGS3MO_t+1,0.46827987
2018-12-14,2018-12-07,Y_DGS6MO_t+1,0.48116526
2018-12-14,2018-12-07,Y_DGS1_t+1,0.48741266
2018-12-14,2018-12-07,Y_DGS2_t+1,0.47610617
2018-12-14,2018-12-07,Y_DGS3_t+1,0.4723402
2018-12-14,2018-12-07,Y_DGS5_t+1,0.49406937
2018-12-14,2018-12-07,Y_DGS7_t+1,0.49984598
2018-12-14,2018-12-07,Y_DGS10_t+1,0.49165422
2018-12-14,2018-12-07,Y_DGS20_t+1,0.49138153
2018-12-14,2018-12-07,Y_DGS30_t+1,0.47664458
2018-12-21,2018-12-07,Y_DGS1MO_t+2,0.4824385
2018-12-21,2018-12-07,Y_DGS3MO_t+2,0.44944313
2018-12-21,2018-12-07,Y_DGS6MO_t+2,0.47877258
2018-12-21,2018-12-07,Y_DGS1_t+2,0.47284883
2018-12-21,2018-12-07,Y_DGS2_t+2,0.47601804
2018-12-21,2018-12-07,Y_DGS3_t+2,0.47655743
2018-12-21,2018-12-07,Y_DGS5_t+2,0.47642416
2018-12-21,2018-12-07,Y_DGS7_t+2,0.4904439
2018-12-21,2018-12-07,Y_DGS10_t+2,0.49102923
2018-12-21,2018-12-07,Y_DGS20_t+2,0.4813773
2018-12-21,2018-12-07,Y_DGS30_t+2,0.46644393
2018-12-28,2018-12-07,Y_DGS1MO_t+3,0.4973731
2018-12-28,2018-12-07,Y_DGS3MO_t+3,0.45791224
2018-12-28,2018-12-07,Y_DGS6MO_t+3,0.4984784
2018-12-28,2018-12-07,Y_DGS1_t+3,0.46614015
2018-12-28,2018-12-07,Y_DGS2_t+3,0.47203
2018-12-28,2018-12-07,Y_DGS3_t+3,0.45566344
2018-12-28,2018-12-07,Y_DGS5_t+3,0.48137257
2018-12-28,2018-12-07,Y_DGS7_t+3,0.49752513
2018-12-28,2018-12-07,Y_DGS10_t+3,0.49124926
2018-12-28,2018-12-07,Y_DGS20_t+3,0.47478485
2018-12-28,2018-12-07,Y_DGS30_t+3,0.49608776
2019-01-04,2018-12-07,Y_DGS1MO_t+4,0.4676677
2019-01-04,2018-12-07,Y_DGS3MO_t+4,0.45939723
2019-01-04,2018-12-07,Y_DGS6MO_t+4,0.49165323
2019-01-04,2018-12-07,Y_DGS1_t+4,0.49691358
2019-01-04,2018-12-07,Y_DGS2_t+4,0.47255173
