Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.569620253164557,1.0,0.02857142857142857,0.05555555555555555,0.4668831168831169,79,0.4430379746835443
Y_DGS10_t+2,0.5443037974683544,0.6666666666666666,0.05405405405405406,0.1,0.5855855855855856,79,0.46835443037974683
Y_DGS10_t+3,0.6075949367088608,0.0,0.0,0.0,0.448252688172043,79,0.3924050632911392
Y_DGS10_t+4,0.6075949367088608,0.0,0.0,0.0,0.4946236559139785,79,0.3924050632911392
Y_DGS1MO_t+1,0.759493670886076,0.0,0.0,0.0,0.6754385964912281,79,0.24050632911392406
Y_DGS1MO_t+2,0.6962025316455697,0.0,0.0,0.0,0.6462121212121212,79,0.3037974683544304
Y_DGS1MO_t+3,0.759493670886076,0.0,0.0,0.0,0.5763157894736841,79,0.24050632911392406
Y_DGS1MO_t+4,0.810126582278481,0.0,0.0,0.0,0.5145833333333334,79,0.189873417721519
Y_DGS1_t+1,0.6835443037974683,0.0,0.0,0.0,0.6259259259259259,79,0.31645569620253167
Y_DGS1_t+2,0.7468354430379747,0.0,0.0,0.0,0.5991525423728814,79,0.25316455696202533
Y_DGS1_t+3,0.7088607594936709,0.0,0.0,0.0,0.5962732919254659,79,0.2911392405063291
Y_DGS1_t+4,0.6455696202531646,0.0,0.0,0.0,0.5049019607843137,79,0.35443037974683544
Y_DGS20_t+1,0.6075949367088608,0.0,0.0,0.0,0.4301075268817204,79,0.3924050632911392
Y_DGS20_t+2,0.5316455696202531,1.0,0.02631578947368421,0.05128205128205128,0.5949935815147624,79,0.4810126582278481
Y_DGS20_t+3,0.569620253164557,0.0,0.0,0.0,0.4392156862745098,79,0.43037974683544306
Y_DGS20_t+4,0.6075949367088608,1.0,0.03125,0.06060606060606061,0.5485372340425532,79,0.4050632911392405
Y_DGS2_t+1,0.5949367088607594,0.0,0.0,0.0,0.5857712765957447,79,0.4050632911392405
Y_DGS2_t+2,0.6582278481012658,0.0,0.0,0.0,0.5106837606837606,79,0.34177215189873417
Y_DGS2_t+3,0.7215189873417721,0.0,0.0,0.0,0.6132376395534291,79,0.27848101265822783
Y_DGS2_t+4,0.5949367088607594,0.0,0.0,0.0,0.5356182795698925,79,0.3924050632911392
Y_DGS30_t+1,0.6455696202531646,0.0,0.0,0.0,0.4915966386554622,79,0.35443037974683544
Y_DGS30_t+2,0.5316455696202531,0.5,0.02702702702702703,0.05128205128205128,0.5810810810810811,79,0.46835443037974683
Y_DGS30_t+3,0.569620253164557,1.0,0.02857142857142857,0.05555555555555555,0.4461038961038961,79,0.4430379746835443
Y_DGS30_t+4,0.5822784810126582,0.0,0.0,0.0,0.48603723404255317,79,0.4050632911392405
Y_DGS3MO_t+1,0.7341772151898734,0.0,0.0,0.0,0.5254515599343186,79,0.26582278481012656
Y_DGS3MO_t+2,0.7721518987341772,0.0,0.0,0.0,0.6302367941712204,79,0.22784810126582278
Y_DGS3MO_t+3,0.7215189873417721,0.0,0.0,0.0,0.606060606060606,79,0.27848101265822783
Y_DGS3MO_t+4,0.7848101265822784,0.0,0.0,0.0,0.6129032258064516,79,0.21518987341772153
Y_DGS3_t+1,0.5822784810126582,0.0,0.0,0.0,0.6337285902503293,79,0.4177215189873418
Y_DGS3_t+2,0.569620253164557,0.0,0.0,0.0,0.5876152832674572,79,0.4177215189873418
Y_DGS3_t+3,0.6582278481012658,0.0,0.0,0.0,0.5377492877492877,79,0.34177215189873417
Y_DGS3_t+4,0.5443037974683544,0.0,0.0,0.0,0.5357142857142857,79,0.4430379746835443
Y_DGS5_t+1,0.5189873417721519,0.0,0.0,0.0,0.4704749679075738,79,0.4810126582278481
Y_DGS5_t+2,0.5569620253164557,0.0,0.0,0.0,0.5467532467532467,79,0.4430379746835443
Y_DGS5_t+3,0.620253164556962,0.0,0.0,0.0,0.4531034482758621,79,0.3670886075949367
Y_DGS5_t+4,0.5569620253164557,0.0,0.0,0.0,0.4896103896103896,79,0.4430379746835443
Y_DGS6MO_t+1,0.6708860759493671,0.0,0.0,0.0,0.5442670537010159,79,0.3291139240506329
Y_DGS6MO_t+2,0.7215189873417721,0.0,0.0,0.0,0.6435406698564594,79,0.27848101265822783
Y_DGS6MO_t+3,0.6708860759493671,0.0,0.0,0.0,0.5609579100145138,79,0.3291139240506329
Y_DGS6MO_t+4,0.6835443037974683,0.0,0.0,0.0,0.5718518518518518,79,0.31645569620253167
Y_DGS7_t+1,0.5063291139240507,1.0,0.025,0.04878048780487805,0.4198717948717949,79,0.5063291139240507
Y_DGS7_t+2,0.5063291139240507,0.0,0.0,0.0,0.5455712451861361,79,0.4810126582278481
Y_DGS7_t+3,0.620253164556962,1.0,0.03225806451612903,0.0625,0.4959677419354839,79,0.3924050632911392
Y_DGS7_t+4,0.5822784810126582,1.0,0.029411764705882353,0.05714285714285714,0.47908496732026146,79,0.43037974683544306
