Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.5063291139240507,0.6666666666666666,0.05,0.09302325581395349,0.4858974358974359,79,0.5063291139240507
Y_DGS10_t+2,0.5443037974683544,0.8333333333333334,0.125,0.21739130434782608,0.567948717948718,79,0.5063291139240507
Y_DGS10_t+3,0.4810126582278481,0.25,0.02564102564102564,0.046511627906976744,0.46987179487179487,79,0.4936708860759494
Y_DGS10_t+4,0.5316455696202531,0.5,0.05405405405405406,0.0975609756097561,0.5495495495495496,79,0.46835443037974683
Y_DGS1MO_t+1,0.6075949367088608,0.5217391304347826,0.375,0.43636363636363634,0.6170212765957447,79,0.4050632911392405
Y_DGS1MO_t+2,0.6582278481012658,0.6538461538461539,0.4857142857142857,0.5573770491803278,0.7246753246753247,79,0.4430379746835443
Y_DGS1MO_t+3,0.6582278481012658,0.6086956521739131,0.4375,0.509090909090909,0.6363031914893618,79,0.4050632911392405
Y_DGS1MO_t+4,0.6329113924050633,0.5416666666666666,0.41935483870967744,0.4727272727272727,0.5880376344086021,79,0.3924050632911392
Y_DGS1_t+1,0.6075949367088608,0.5909090909090909,0.37142857142857144,0.45614035087719296,0.5623376623376622,79,0.4430379746835443
Y_DGS1_t+2,0.5949367088607594,0.5416666666666666,0.38235294117647056,0.4482758620689655,0.5856209150326798,79,0.43037974683544306
Y_DGS1_t+3,0.5063291139240507,0.4583333333333333,0.2972972972972973,0.36065573770491804,0.43243243243243246,79,0.46835443037974683
Y_DGS1_t+4,0.5822784810126582,0.5238095238095238,0.3235294117647059,0.4,0.6058823529411765,79,0.43037974683544306
Y_DGS20_t+1,0.5569620253164557,0.5,0.02857142857142857,0.05405405405405406,0.43961038961038956,79,0.4430379746835443
Y_DGS20_t+2,0.5063291139240507,1.0,0.04878048780487805,0.09302325581395349,0.5173299101412067,79,0.5189873417721519
Y_DGS20_t+3,0.4810126582278481,0.0,0.0,0.0,0.4711538461538462,79,0.5063291139240507
Y_DGS20_t+4,0.5443037974683544,0.0,0.0,0.0,0.6272727272727273,79,0.4430379746835443
Y_DGS2_t+1,0.5569620253164557,0.6153846153846154,0.3902439024390244,0.47761194029850745,0.5673940949935815,79,0.5189873417721519
Y_DGS2_t+2,0.6075949367088608,0.5833333333333334,0.4,0.4745762711864407,0.5811688311688312,79,0.4430379746835443
Y_DGS2_t+3,0.5822784810126582,0.4583333333333333,0.3548387096774194,0.4,0.4986559139784946,79,0.3924050632911392
Y_DGS2_t+4,0.5063291139240507,0.5833333333333334,0.32558139534883723,0.417910447761194,0.5710594315245479,79,0.5443037974683544
Y_DGS30_t+1,0.5443037974683544,0.3333333333333333,0.02857142857142857,0.05263157894736842,0.4948051948051948,79,0.4430379746835443
Y_DGS30_t+2,0.4936708860759494,0.75,0.07142857142857142,0.13043478260869565,0.6299871299871299,79,0.5316455696202531
Y_DGS30_t+3,0.45569620253164556,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.472972972972973,79,0.5316455696202531
