Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.4936708860759494,0.5,0.05,0.09090909090909091,0.45897435897435895,79,0.5063291139240507
Y_DGS10_t+2,0.4430379746835443,0.0,0.0,0.0,0.4980769230769231,79,0.5063291139240507
Y_DGS10_t+3,0.4936708860759494,0.4,0.05128205128205128,0.09090909090909091,0.49807692307692314,79,0.4936708860759494
Y_DGS10_t+4,0.4936708860759494,0.0,0.0,0.0,0.5321750321750321,79,0.46835443037974683
Y_DGS1MO_t+1,0.620253164556962,0.5555555555555556,0.3125,0.4,0.6409574468085106,79,0.4050632911392405
Y_DGS1MO_t+2,0.6962025316455697,0.7894736842105263,0.42857142857142855,0.5555555555555556,0.6948051948051949,79,0.4430379746835443
Y_DGS1MO_t+3,0.6708860759493671,0.65,0.40625,0.5,0.6549202127659575,79,0.4050632911392405
Y_DGS1MO_t+4,0.5569620253164557,0.4,0.25806451612903225,0.3137254901960784,0.5288978494623655,79,0.3924050632911392
Y_DGS1_t+1,0.6329113924050633,0.65,0.37142857142857144,0.4727272727272727,0.5987012987012986,79,0.4430379746835443
Y_DGS1_t+2,0.5569620253164557,0.47368421052631576,0.2647058823529412,0.33962264150943394,0.5333333333333334,79,0.43037974683544306
Y_DGS1_t+3,0.620253164556962,0.7333333333333333,0.2972972972972973,0.4230769230769231,0.46782496782496785,79,0.46835443037974683
Y_DGS1_t+4,0.7088607594936709,0.8235294117647058,0.4117647058823529,0.5490196078431373,0.669281045751634,79,0.43037974683544306
Y_DGS20_t+1,0.5443037974683544,0.3333333333333333,0.02857142857142857,0.05263157894736842,0.5318181818181817,79,0.4430379746835443
Y_DGS20_t+2,0.45569620253164556,0.25,0.024390243902439025,0.044444444444444446,0.430038510911425,79,0.5189873417721519
Y_DGS20_t+3,0.4936708860759494,0.5,0.025,0.047619047619047616,0.5371794871794872,79,0.5063291139240507
Y_DGS20_t+4,0.5316455696202531,0.25,0.02857142857142857,0.05128205128205128,0.6188311688311688,79,0.4430379746835443
Y_DGS2_t+1,0.5443037974683544,0.6190476190476191,0.3170731707317073,0.41935483870967744,0.5667522464698331,79,0.5189873417721519
Y_DGS2_t+2,0.6075949367088608,0.6111111111111112,0.3142857142857143,0.41509433962264153,0.5603896103896104,79,0.4430379746835443
Y_DGS2_t+3,0.6708860759493671,0.6470588235294118,0.3548387096774194,0.4583333333333333,0.4758064516129033,79,0.3924050632911392
Y_DGS2_t+4,0.5316455696202531,0.6875,0.2558139534883721,0.3728813559322034,0.5129198966408268,79,0.5443037974683544
Y_DGS30_t+1,0.5189873417721519,0.2,0.02857142857142857,0.05,0.48701298701298706,79,0.4430379746835443
Y_DGS30_t+2,0.4430379746835443,0.0,0.0,0.0,0.5341055341055341,79,0.5316455696202531
Y_DGS30_t+3,0.4810126582278481,1.0,0.023809523809523808,0.046511627906976744,0.4987129987129987,79,0.5316455696202531
Y_DGS30_t+4,0.5316455696202531,0.25,0.02857142857142857,0.05128205128205128,0.577922077922078,79,0.4430379746835443
Y_DGS3MO_t+1,0.569620253164557,0.625,0.375,0.46875,0.6423076923076924,79,0.5063291139240507
Y_DGS3MO_t+2,0.6708860759493671,0.6666666666666666,0.42424242424242425,0.5185185185185185,0.5540184453227932,79,0.4177215189873418
Y_DGS3MO_t+3,0.6582278481012658,0.7619047619047619,0.42105263157894735,0.5423728813559322,0.5532734274711167,79,0.4810126582278481
Y_DGS3MO_t+4,0.6708860759493671,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.6564625850340136,79,0.379746835443038
Y_DGS3_t+1,0.569620253164557,0.65,0.325,0.43333333333333335,0.4942307692307692,79,0.5063291139240507
Y_DGS3_t+2,0.4430379746835443,0.4,0.2,0.26666666666666666,0.4615384615384615,79,0.5063291139240507
Y_DGS3_t+3,0.6075949367088608,0.5789473684210527,0.3235294117647059,0.41509433962264153,0.48954248366013076,79,0.43037974683544306
Y_DGS3_t+4,0.4936708860759494,0.5333333333333333,0.1951219512195122,0.2857142857142857,0.5481386392811296,79,0.5189873417721519
Y_DGS5_t+1,0.46835443037974683,0.5,0.047619047619047616,0.08695652173913043,0.38030888030888027,79,0.5316455696202531
