Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.5316455696202531,0.6363636363636364,0.175,0.27450980392156865,0.4525641025641026,79,0.5063291139240507
Y_DGS10_t+2,0.5569620253164557,0.8571428571428571,0.15,0.2553191489361702,0.6121794871794872,79,0.5063291139240507
Y_DGS10_t+3,0.45569620253164556,0.16666666666666666,0.02564102564102564,0.044444444444444446,0.38141025641025644,79,0.4936708860759494
Y_DGS10_t+4,0.5189873417721519,0.4444444444444444,0.10810810810810811,0.17391304347826086,0.4395109395109395,79,0.46835443037974683
Y_DGS1MO_t+1,0.6075949367088608,0.5238095238095238,0.34375,0.41509433962264153,0.5698138297872342,79,0.4050632911392405
Y_DGS1MO_t+2,0.6962025316455697,0.7619047619047619,0.45714285714285713,0.5714285714285714,0.7311688311688311,79,0.4430379746835443
Y_DGS1MO_t+3,0.5822784810126582,0.48,0.375,0.42105263157894735,0.5345744680851063,79,0.4050632911392405
Y_DGS1MO_t+4,0.5189873417721519,0.3333333333333333,0.22580645161290322,0.2692307692307692,0.5463709677419355,79,0.3924050632911392
Y_DGS1_t+1,0.5443037974683544,0.47368421052631576,0.2571428571428571,0.3333333333333333,0.5383116883116883,79,0.4430379746835443
Y_DGS1_t+2,0.5949367088607594,0.55,0.3235294117647059,0.4074074074074074,0.5980392156862745,79,0.43037974683544306
Y_DGS1_t+3,0.5443037974683544,0.5238095238095238,0.2972972972972973,0.3793103448275862,0.4131274131274132,79,0.46835443037974683
Y_DGS1_t+4,0.5063291139240507,0.4,0.29411764705882354,0.3389830508474576,0.48692810457516345,79,0.43037974683544306
Y_DGS20_t+1,0.569620253164557,0.5454545454545454,0.17142857142857143,0.2608695652173913,0.46038961038961035,79,0.4430379746835443
Y_DGS20_t+2,0.5316455696202531,0.6666666666666666,0.1951219512195122,0.3018867924528302,0.6046213093709885,79,0.5189873417721519
Y_DGS20_t+3,0.45569620253164556,0.3333333333333333,0.075,0.12244897959183673,0.3608974358974359,79,0.5063291139240507
Y_DGS20_t+4,0.5569620253164557,0.5,0.14285714285714285,0.2222222222222222,0.4597402597402597,79,0.4430379746835443
Y_DGS2_t+1,0.5822784810126582,0.6818181818181818,0.36585365853658536,0.47619047619047616,0.6071887034659821,79,0.5189873417721519
Y_DGS2_t+2,0.5569620253164557,0.5,0.37142857142857144,0.4262295081967213,0.5941558441558441,79,0.4430379746835443
Y_DGS2_t+3,0.5316455696202531,0.35,0.22580645161290322,0.27450980392156865,0.375,79,0.3924050632911392
Y_DGS2_t+4,0.5189873417721519,0.6,0.3488372093023256,0.4411764705882353,0.46382428940568476,79,0.5443037974683544
Y_DGS30_t+1,0.5569620253164557,0.5,0.05714285714285714,0.10256410256410256,0.5064935064935066,79,0.4430379746835443
Y_DGS30_t+2,0.4810126582278481,0.5714285714285714,0.09523809523809523,0.16326530612244897,0.5765765765765767,79,0.5316455696202531
Y_DGS30_t+3,0.4050632911392405,0.2222222222222222,0.047619047619047616,0.0784313725490196,0.39768339768339767,79,0.5316455696202531
Y_DGS30_t+4,0.5189873417721519,0.3333333333333333,0.08571428571428572,0.13636363636363635,0.4363636363636364,79,0.4430379746835443
Y_DGS3MO_t+1,0.5443037974683544,0.6111111111111112,0.275,0.3793103448275862,0.6987179487179487,79,0.5063291139240507
