Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS10_t+1,0.5443037974683544,0.6428571428571429,0.225,0.3333333333333333,0.5262820512820513,79,0.5063291139240507
Y_DGS10_t+2,0.4936708860759494,0.5,0.15,0.23076923076923078,0.5076923076923077,79,0.5063291139240507
Y_DGS10_t+3,0.4810126582278481,0.3333333333333333,0.05128205128205128,0.08888888888888889,0.4416666666666667,79,0.4936708860759494
Y_DGS10_t+4,0.5443037974683544,0.5454545454545454,0.16216216216216217,0.25,0.5148005148005148,79,0.46835443037974683
Y_DGS1MO_t+1,0.5822784810126582,0.46153846153846156,0.1875,0.26666666666666666,0.6269946808510638,79,0.4050632911392405
Y_DGS1MO_t+2,0.6329113924050633,0.6666666666666666,0.34285714285714286,0.4528301886792453,0.6766233766233766,79,0.4430379746835443
Y_DGS1MO_t+3,0.5822784810126582,0.45454545454545453,0.15625,0.23255813953488372,0.538563829787234,79,0.4050632911392405
Y_DGS1MO_t+4,0.5569620253164557,0.35714285714285715,0.16129032258064516,0.2222222222222222,0.5282258064516129,79,0.3924050632911392
Y_DGS1_t+1,0.5443037974683544,0.46153846153846156,0.17142857142857143,0.25,0.577922077922078,79,0.4430379746835443
Y_DGS1_t+2,0.5949367088607594,0.6,0.17647058823529413,0.2727272727272727,0.5581699346405229,79,0.43037974683544306
Y_DGS1_t+3,0.5063291139240507,0.4375,0.1891891891891892,0.2641509433962264,0.407979407979408,79,0.46835443037974683
Y_DGS1_t+4,0.5443037974683544,0.4166666666666667,0.14705882352941177,0.21739130434782608,0.534640522875817,79,0.43037974683544306
Y_DGS20_t+1,0.5316455696202531,0.4,0.11428571428571428,0.17777777777777778,0.5103896103896104,79,0.4430379746835443
Y_DGS20_t+2,0.45569620253164556,0.42857142857142855,0.14634146341463414,0.21818181818181817,0.47689345314505777,79,0.5189873417721519
Y_DGS20_t+3,0.5569620253164557,0.8571428571428571,0.15,0.2553191489361702,0.5057692307692307,79,0.5063291139240507
Y_DGS20_t+4,0.6329113924050633,0.875,0.2,0.32558139534883723,0.6422077922077922,79,0.4430379746835443
Y_DGS2_t+1,0.45569620253164556,0.4444444444444444,0.1951219512195122,0.2711864406779661,0.5314505776636714,79,0.5189873417721519
Y_DGS2_t+2,0.5189873417721519,0.4,0.17142857142857143,0.24,0.5909090909090909,79,0.4430379746835443
Y_DGS2_t+3,0.5569620253164557,0.3333333333333333,0.12903225806451613,0.18604651162790697,0.5033602150537635,79,0.3924050632911392
Y_DGS2_t+4,0.45569620253164556,0.5,0.20930232558139536,0.29508196721311475,0.47480620155038755,79,0.5443037974683544
Y_DGS30_t+1,0.5316455696202531,0.4,0.11428571428571428,0.17777777777777778,0.45194805194805193,79,0.4430379746835443
Y_DGS30_t+2,0.4177215189873418,0.25,0.047619047619047616,0.08,0.39768339768339767,79,0.5316455696202531
Y_DGS30_t+3,0.4430379746835443,0.4,0.09523809523809523,0.15384615384615385,0.43886743886743884,79,0.5316455696202531
Y_DGS30_t+4,0.5569620253164557,0.5,0.14285714285714285,0.2222222222222222,0.5909090909090909,79,0.4430379746835443
Y_DGS3MO_t+1,0.569620253164557,0.65,0.325,0.43333333333333335,0.7243589743589743,79,0.5063291139240507
Y_DGS3MO_t+2,0.5443037974683544,0.4117647058823529,0.21212121212121213,0.28,0.4868247694334651,79,0.4177215189873418
Y_DGS3MO_t+3,0.5822784810126582,0.631578947368421,0.3157894736842105,0.42105263157894735,0.5622593068035944,79,0.4810126582278481
Y_DGS3MO_t+4,0.620253164556962,0.5,0.26666666666666666,0.34782608695652173,0.5857142857142857,79,0.379746835443038
Y_DGS3_t+1,0.4810126582278481,0.47368421052631576,0.225,0.3050847457627119,0.4833333333333334,79,0.5063291139240507
Y_DGS3_t+2,0.5063291139240507,0.5333333333333333,0.2,0.2909090909090909,0.542948717948718,79,0.5063291139240507
Y_DGS3_t+3,0.569620253164557,0.5,0.20588235294117646,0.2916666666666667,0.530718954248366,79,0.43037974683544306
Y_DGS3_t+4,0.4936708860759494,0.5294117647058824,0.21951219512195122,0.3103448275862069,0.472400513478819,79,0.5189873417721519
Y_DGS5_t+1,0.45569620253164556,0.46153846153846156,0.14285714285714285,0.21818181818181817,0.4028314028314028,79,0.5316455696202531
Y_DGS5_t+2,0.5316455696202531,0.5714285714285714,0.20512820512820512,0.3018867924528302,0.5570512820512821,79,0.4936708860759494
Y_DGS5_t+3,0.45569620253164556,0.18181818181818182,0.05555555555555555,0.0851063829787234,0.40439276485788117,79,0.45569620253164556
Y_DGS5_t+4,0.45569620253164556,0.35714285714285715,0.1282051282051282,0.18867924528301888,0.40064102564102566,79,0.4936708860759494
Y_DGS6MO_t+1,0.6708860759493671,0.782608695652174,0.46153846153846156,0.5806451612903226,0.75,79,0.4936708860759494
Y_DGS6MO_t+2,0.5569620253164557,0.5416666666666666,0.35135135135135137,0.4262295081967213,0.575933075933076,79,0.46835443037974683
Y_DGS6MO_t+3,0.620253164556962,0.7142857142857143,0.38461538461538464,0.5,0.65,79,0.4936708860759494
Y_DGS6MO_t+4,0.620253164556962,0.65,0.3611111111111111,0.4642857142857143,0.6395348837209303,79,0.45569620253164556
Y_DGS7_t+1,0.4936708860759494,0.5714285714285714,0.0975609756097561,0.16666666666666666,0.47753530166880614,79,0.5189873417721519
Y_DGS7_t+2,0.45569620253164556,0.42857142857142855,0.14634146341463414,0.21818181818181817,0.48459563543003853,79,0.5189873417721519
Y_DGS7_t+3,0.5189873417721519,0.4166666666666667,0.1388888888888889,0.20833333333333334,0.5303617571059431,79,0.45569620253164556
Y_DGS7_t+4,0.5316455696202531,0.6,0.15384615384615385,0.24489795918367346,0.47756410256410253,79,0.4936708860759494
