,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
0,0.75,0.75,0.5,0.25,0.75,0.75,1.0,0.75,0.75,0.75,0.5
1,0.75,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.5,0.25
2,0.25,0.75,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.75,0.5
3,0.75,0.25,0.75,0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.5
4,0.75,0.75,1.0,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.75
5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,0.5,0.25,0.75,0.75,0.5,0.5,0.75,0.5,1.0,1.0,1.0
7,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.75
8,0.75,0.75,0.25,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0
9,0.5,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.75,0.75,0.75
10,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.5
11,0.5,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5
12,0.25,0.75,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5
13,0.5,0.5,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.5
14,0.25,0.5,0.5,0.75,0.0,0.0,0.25,0.0,0.5,0.0,0.5
15,0.75,0.25,0.75,0.25,0.25,0.75,0.75,0.75,0.5,0.5,0.25
16,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25
17,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.75,1.0,0.5,0.5
18,0.5,0.0,0.75,0.0,0.0,0.25,1.0,0.25,0.5,0.25,1.0
19,0.25,1.0,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75
20,0.5,0.0,0.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5
21,0.75,0.25,0.5,0.5,0.0,0.25,0.5,0.25,0.25,0.5,0.25
22,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.5,0.75,0.75
23,0.25,0.25,1.0,0.25,0.75,0.5,0.5,0.25,0.25,0.25,0.75
24,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25,0.5,0.25,0.25,1.0,0.0,0.5,0.25,0.25,0.5,0.5,0.75
26,0.75,1.0,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.25
27,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.75
28,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.5,0.75,0.75
29,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.75,0.25
30,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.25,0.25,0.25,0.25
31,0.75,0.75,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.25
32,0.25,0.75,0.5,0.0,0.25,0.25,0.5,0.25,0.25,0.25,0.5
33,0.5,0.5,0.75,1.0,0.5,0.25,0.75,0.25,0.0,0.0,0.25
34,0.75,0.25,0.0,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.25
35,0.5,0.75,0.5,0.25,0.5,0.75,0.5,1.0,0.5,0.25,0.25
36,0.75,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.75,0.5,0.5
37,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.5
38,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.5,0.75,1.0,0.75
39,0.5,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.75,0.75
40,0.75,1.0,1.0,0.75,0.75,0.75,0.5,0.0,0.25,0.25,0.5
41,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.75
42,0.75,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.5,0.5,0.5
43,0.5,0.5,0.75,0.75,0.5,0.75,0.25,0.25,0.25,0.25,0.5
44,0.75,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.0,0.0,0.25
45,0.25,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75
46,0.5,0.75,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5
47,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
48,0.25,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75
49,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.75
50,0.5,0.5,0.5,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.25
51,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75
52,0.25,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5
53,0.5,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0.5,0.5,0.5
54,0.75,0.5,0.25,0.0,0.0,0.5,0.25,0.5,0.75,0.5,0.5
55,0.5,0.25,0.5,0.5,1.0,0.5,1.0,0.5,0.75,0.75,0.75
56,0.75,0.25,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75
57,0.25,0.5,0.25,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.75
58,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,1.0
59,0.25,0.5,0.75,0.5,0.75,1.0,1.0,1.0,1.0,1.0,0.75
60,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.75
61,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25
62,0.5,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.5,0.5,0.5
63,0.75,0.25,0.5,0.75,0.25,1.0,0.5,0.5,0.5,0.5,0.75
64,0.25,1.0,0.75,0.5,1.0,0.5,0.75,0.75,1.0,1.0,0.75
65,0.75,1.0,0.25,0.5,0.75,0.25,0.25,0.5,0.5,0.25,0.5
66,0.75,0.25,0.25,0.5,0.0,0.0,0.25,0.5,0.75,0.5,0.5
67,0.25,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.25,0.75
68,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.5,0.5
69,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.5,0.0
70,0.5,0.5,0.25,0.25,0.25,0.75,0.75,0.5,0.5,0.5,1.0
71,0.5,0.75,0.75,0.75,0.5,0.5,0.25,0.5,0.5,0.25,0.5
72,0.5,0.75,1.0,0.5,1.0,1.0,0.5,0.25,0.5,0.5,0.5
73,0.5,0.75,0.75,1.0,0.5,0.75,0.5,0.25,0.25,0.25,0.25
74,0.5,0.5,0.75,0.75,0.5,0.25,0.75,0.5,0.75,0.5,0.5
75,0.75,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
76,0.75,0.75,0.75,1.0,0.25,0.5,0.5,0.5,0.75,0.5,0.5
77,0.75,0.25,0.75,0.75,0.25,0.5,0.25,0.25,0.25,0.25,0.25
78,0.75,0.75,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75
79,0.75,1.0,0.5,0.25,0.5,0.25,0.0,0.0,0.25,0.75,0.25
80,0.75,0.75,0.75,0.75,0.5,1.0,0.5,0.5,0.5,0.25,0.25
81,1.0,0.5,0.5,0.75,1.0,0.25,0.25,0.25,0.25,0.5,0.25
82,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.75,1.0
83,0.5,0.25,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5
84,0.75,0.5,1.0,1.0,0.25,0.5,0.25,0.25,0.25,0.75,0.25
85,1.0,1.0,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.25,0.75
86,0.75,1.0,0.75,0.25,0.5,1.0,0.75,0.75,1.0,0.5,0.5
87,0.25,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.75,0.5,0.75
88,0.5,1.0,1.0,0.5,0.75,0.5,0.5,0.0,0.5,0.75,0.75
89,1.0,0.25,0.25,0.5,1.0,1.0,0.5,0.75,0.5,0.75,0.75
90,0.5,0.5,0.75,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.5
91,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.0,0.5,0.75
