,Y_DGS1,Y_DGS10,Y_DGS1MO,Y_DGS2,Y_DGS20,Y_DGS3,Y_DGS30,Y_DGS3MO,Y_DGS5,Y_DGS6MO,Y_DGS7
0,0.75,0.75,0.25,0.75,0.5,0.5,0.75,0.25,0.75,0.5,0.5
1,0.5,0.25,0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.75,0.5
2,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.25,0.0,0.25
3,1.0,1.0,0.25,1.0,1.0,1.0,0.75,0.5,0.25,1.0,1.0
4,0.5,0.25,0.75,0.25,0.75,0.75,0.5,0.75,0.5,0.5,0.5
5,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.75,0.75,1.0,0.75
6,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75
7,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.0
8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75
9,0.25,0.0,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5
10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75
11,0.5,0.75,1.0,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.75
12,0.5,0.5,0.5,1.0,0.75,0.5,0.75,0.25,0.75,0.5,0.5
13,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75
14,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.75,0.75,0.75
15,0.75,1.0,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5
16,1.0,0.75,1.0,1.0,0.5,0.5,0.75,1.0,0.75,1.0,0.5
17,0.25,0.75,0.5,0.75,0.75,1.0,0.75,0.5,0.75,0.5,0.5
18,0.75,0.25,1.0,0.75,0.25,0.75,0.5,1.0,0.5,0.5,0.5
19,0.75,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.75,0.75,0.75
20,1.0,0.75,0.5,1.0,0.75,1.0,0.75,1.0,0.75,1.0,0.75
21,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.5
22,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75
23,0.75,0.25,0.75,0.25,0.25,0.5,0.25,0.75,0.25,0.75,0.5
24,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5
25,1.0,0.25,1.0,0.75,0.25,0.5,0.25,0.75,0.5,1.0,0.5
26,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
27,1.0,0.5,1.0,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5
28,0.5,0.0,0.5,0.5,0.0,0.25,0.0,0.75,0.0,0.75,0.0
29,0.75,0.25,0.75,0.75,0.25,0.5,0.25,0.75,0.25,0.5,0.25
30,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75
31,0.75,0.5,1.0,0.5,0.5,0.25,0.5,0.75,0.25,0.75,0.5
32,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.25,0.75,0.25,0.75
33,1.0,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,1.0,0.75
34,0.75,0.75,1.0,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.5
35,0.5,0.25,0.75,0.75,0.5,0.5,0.5,1.0,0.5,0.75,0.5
36,0.5,0.0,0.75,0.5,0.25,0.25,0.25,0.5,0.25,0.75,0.25
37,0.25,0.75,0.25,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.5
38,0.0,0.75,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.75
39,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.25,0.25
40,0.0,0.25,1.0,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.25
41,0.25,0.5,0.75,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25
42,0.75,0.25,0.75,0.5,0.25,0.5,0.25,1.0,0.25,0.75,0.25
43,0.0,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.25
44,0.5,0.75,0.5,0.5,0.75,0.25,0.5,0.5,1.0,0.75,0.75
45,0.75,0.25,1.0,0.25,0.25,0.5,0.25,0.5,0.25,1.0,0.25
46,0.5,0.75,1.0,0.25,0.75,0.25,0.75,0.75,0.75,1.0,0.75
47,0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0.5
48,0.5,0.0,0.75,0.0,0.25,0.0,0.25,0.25,0.0,1.0,0.0
49,0.25,0.0,0.25,0.25,0.0,0.25,0.0,1.0,0.0,1.0,0.0
50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0.25
51,0.25,0.75,0.5,0.25,0.75,0.25,1.0,0.75,0.75,0.5,0.75
52,0.5,0.25,0.5,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.25
53,0.75,0.5,0.25,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75
54,0.75,0.0,0.5,1.0,0.25,0.5,0.25,0.75,0.0,1.0,0.25
55,0.75,0.5,1.0,0.75,0.5,0.25,0.75,0.25,0.5,0.25,0.5
56,0.25,0.25,0.5,0.75,0.0,0.25,0.25,0.25,0.5,0.25,0.25
57,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.5
58,0.5,0.0,0.5,0.5,0.5,0.0,0.75,0.75,0.25,0.5,0.25
59,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.5,0.25,0.25
60,0.5,0.0,0.5,0.75,0.5,0.5,0.25,1.0,0.5,0.75,0.5
61,0.5,0.25,0.5,0.5,0.5,0.25,0.25,0.0,0.5,0.0,0.25
62,0.75,0.25,0.75,1.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0
63,0.5,0.75,0.5,0.5,0.75,0.25,0.75,0.25,0.75,0.25,0.75
64,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5
65,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75
66,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.75,0.25,0.75,0.25
67,0.0,0.5,0.75,0.0,0.5,0.25,0.75,0.5,0.5,0.0,0.5
68,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75
